,date,morning,night,food0,food1,food2,food3,food4,food5,food6,food7,food8,food9,alcohol,vegetables,fruits,fats,starches
0,2015-10-04 00:00:00,,217.0,,,,,,,,,,,,,,,
1,2015-10-05 00:00:00,215.0,,,,,,,,,,,,,,,,
2,2015-12-28 00:00:00,,221.0,OB Muffin,,,Masala,Mandarin,Apple,,stir fry/crispy chicken/brown rice,,,0.0,1.0,2.0,2.0,3.0
3,2015-12-29 00:00:00,,220.0,OB Muffin,,,Salad,Mandarin,Mandarin,,Hot Dog/Popcorn,,,1.0,1.0,1.0,1.5,2.0
4,2015-12-30 00:00:00,216.0,218.0,Breakfast Burrito,,Mandarin,Salad,Mandarin,Mandarin,,Sounders Burger/Fries,,,1.0,1.0,1.0,2.0,0.5
5,2015-12-31 00:00:00,213.0,217.0,Ham & Cheddar Croissant,,Mandarin,Salad,Mandarin,Mandarin,,Teriyaki Chicken/Green Bean Chicken,,,5.0,3.0,1.0,2.0,1.0
6,2016-01-01 00:00:00,,,,,,,,,,,,,5.0,,,,
7,2016-01-02 00:00:00,,,,,,,,,,,,,5.0,,,,
8,2016-01-03 00:00:00,,219.0,Bagel/Baconx100,,,Chicken Strips/Fries/Potato Salad,,,,Chicken Corn Chowder,,,0.0,,,,
9,2016-01-04 00:00:00,215.0,,,,,,,,,,,,,,,,
10,2016-01-05 00:00:00,,,,,,,,,,,,,,,,,
11,2016-01-06 00:00:00,215.0,216.0,Turkey & Swiss Croissant,,,Veggie Wraps,,,,Stir Fry,,,0.0,3.0,0.0,2.0,1.0
12,2016-01-07 00:00:00,215.0,215.0,Ham & Cheddar Croissant,,,Stir Fry/Veggies,,,,Pork Teriyaki,Cookie,Cookie,0.0,2.0,0.0,3.0,1.5
13,2016-01-08 00:00:00,213.0,,Pork Teriyaki LO/,,,,,,,,,,,,,,
14,2016-01-09 00:00:00,,216.0,Safeway Breakfast Burrito,,Apple,Two Safeway Salads,,,,Pretentious Burger and Fluffs,Chips and Salsa,,2.0,1.0,1.0,2.0,2.0
15,2016-01-10 00:00:00,215.0,218.0,,Venti Iced Vanilla Latte,,Taco Croissant/Pulled Pork/Sweet Potatoes,,,,Old Spaghetti Factory Chicken Parmesan,Apple,,3.0,0.5,1.0,2.0,2.5
16,2016-01-11 00:00:00,217.0,220.0,French Bread,,,Wild Ginger Seven Flavor Beef (Brown Rice),Twix,Kit Kat,Apple,Gyro Plate,Kit Kat,,1.0,0.5,1.0,1.5,3.0
17,2016-01-12 00:00:00,218.0,218.0,Ham & Cheddar Croissant,,,Grilled Chicken/Rice/Side Salad,,,,Pasta/Lasagna/Broccoli,Ice Cream,,0.0,1.0,0.0,1.5,3.0
18,2016-01-13 00:00:00,216.0,218.0,OB Muffin,,,MF Salad/Chicken/Salmon,,,,Spaghetti Meatballs/Salad,,,2.0,4.0,0.0,1.0,2.0
19,2016-01-14 00:00:00,215.0,218.0,Ham & Cheddar Croissant,,,Spaghetti Meatballs,,,,,,,1.0,1.0,0.0,1.0,3.0
20,2016-01-15 00:00:00,215.0,220.0,Stir Fry LO,,,Stir Fry LO,,,Donut,Bacon Asparagus,,,4.0,3.0,,1.0,2.0
21,2016-01-16 00:00:00,219.0,,"""Heartattack"" Bacon Hash Brown Eggs",,,Bacon Asparagus LO/Apple,,,,Rice A Roni,Popcorn,,0.0,0.5,1.0,2.0,3.0
22,2016-01-17 00:00:00,,218.0,Bagel/Apple,,Chips/Hummus,Roast/Rice/Onions,5 Mandarins,,,Pork/Pico de Gallo Tacos,Peanut Butter/Vanilla Ice Cream,,1.0,1.0,4.0,1.0,2.0
23,2016-01-18 00:00:00,216.0,,Bagel,,,Pork/Pico Tacos/Orange,,,,Sugar Peas/Pear/Pizza,,,2.0,1.0,3.0,2.0,1.0
24,2016-01-19 00:00:00,215.0,217.0,OB Muffin,,,Bacon Cheeseburger,Orange,,,Burrito/Rice,cookie,Curly Fries,1.0,1.0,1.0,1.5,4.0
25,2016-01-20 00:00:00,215.0,219.0,Ham & Cheddar Croissant,,,Wreck on Multi,,,,Mongolian Chicken,,,0.0,1.0,0.0,2.0,3.0
26,2016-01-21 00:00:00,,216.0,OB Muffin,,,Broccoli Salad/Rice/Potato Curry,,,,Chipotle Chicken Bowl,Pear/Orange,,1.0,1.0,3.0,1.0,2.0
27,2016-01-22 00:00:00,216.0,217.0,Almond Scone,,,Broccoli Salad/Green Beans/Rice/Potato Curry,,,,Pizza,Cookies,Orange,0.0,2.0,1.0,1.5,3.5
28,2016-01-23 00:00:00,215.0,218.0,Bagel,Orange,,Pastrami Sandwich/Carrots,Pear,Carrots,Mango,Nachos,,,2.0,2.0,2.0,1.0,2.5
29,2016-01-24 00:00:00,215.0,219.0,Donut/Donut/Mandarin,,,Chipotle Chicken Strip Lettuce Wraps,Orange,,,Half Pastrami Sandwich/Carrots/Ramen,Half Oreo Shake,,0.0,1.0,1.5,2.0,3.0
30,2016-01-25 00:00:00,,217.0,Ham & Cheddar Croissant,,,Pizza/Salad,Pear,,,Sesame Chicken/Chow Mein,Chocolate Candy,,2.0,1.0,1.0,2.0,3.0
31,2016-01-26 00:00:00,217.0,218.0,OB Muffin,,,Chicken Salad Wrap,,,,Pasta/Veggies/Salad/Roll,Pizza,,0.0,2.0,0.0,1.0,3.0
32,2016-01-27 00:00:00,,217.0,OB Muffin,,,Broccoli Salad/Green Beans/Rice/Potato Curry,,,,Kielbasa/Pepper/Onion Sandwich,Pear,,1.0,3.0,1.0,1.5,3.0
33,2016-01-28 00:00:00,216.0,216.0,Turkey & Swiss Croissant,,,Pastrami Sandwich/Carrots,,,Half Pastrami Sandwich,Open Face Kielbasa/Pepper/Onion Sandwich,,,1.0,2.0,0.0,1.5,2.5
34,2016-01-29 00:00:00,214.0,216.0,OB Muffin,,,Chicken Tostada Salad,Cookie,,,Pizza/Mac & Cheese/Caesar Salad,,,4.0,3.0,0.0,2.0,2.5
35,2016-01-30 00:00:00,215.0,216.0,"""Heartattack"" Bacon Hash Brown Eggs Kielbasa Onion Pepper",,,,,,,Chicken Fried Chicken,,,2.5,1.0,1.5,2.0,2.0
36,2016-01-31 00:00:00,216.0,219.0,Pizza,Orange,,Kielbasa/Pepper/Onion Sandwich,,,,Red Curry,,,1.0,1.5,1.0,2.0,2.0
37,2016-02-01 00:00:00,216.0,217.0,Bagel/Fruit,,,Spicy Chicken Vegetables Teriyaki,,,Half OB Muffin,Broccoli/Chicken Corn Chowder,Orange,Candy,0.0,3.0,2.0,2.0,2.5
